variant,control,seed,dale,type_select,smoke,run_id,timestamp,device,rep,threads,deterministic,init,lr_scale,tag,min_weight,n_features_connected,belief_sd_median_l1,belief_sd_median_l2,belief_lowvar_frac_l1,belief_lowvar_frac_l2,drive_median_l1,drive_median_l2,energy_test_bias_corr,energy_test_bias_only_mean,n_visible,n_h1,n_h2,n_h3,belief_dim,n_couplings,n_params,energy_test_delta_mean,energy_test_frac_pos,energy_test_auc,energy_test_paired_t,energy_test_dfe_high_beta,energy_test_dfe_low_beta,energy_test_welch_t,baseline_visit_auc,baseline_purchase_auc,adapter_visit_full_auc,adapter_visit_top_auc,adapter_purchase_full_auc,adapter_purchase_top_auc,best_visit_belief,best_purchase_belief,cate_push_visit_gamma,cate_push_visit_alpha,cate_push_visit_beta,cate_sale1_purchase_alpha,cate_sale1_purchase_beta,cate_sale1_purchase_gamma,dbm_test_recon_bce,dbm_test_free_energy,dbm_val_recon_bce_best,epochs_pt,epochs_ft,adapter_epochs,t_pretrain_s,t_finetune_s,t_baseline_s,t_adapters_s,t_energy_s,t_total_s
V0,none,0,0,random,0,V0_none_seed0,2026-09-15T02:38:02,cpu,0,8,1,default,1.0,,,,0.17265275120735168,0.3026004731655121,0.171875,0.125,22.639249801635742,11.234684944152832,0.42603327451326567,2.3266963958740234,72,64,32,16,112,7168,7352,1.6794331073760986,0.6918436293436293,0.5989756249544498,43.77326202392578,0.21656517684459686,3.148433208465576,-40.65420150756836,0.7127857662106457,0.679312080626996,0.711142261595685,0.6929832462619347,0.677699967095277,0.6471553190555518,full,full,0.5637729062321052,-0.24750882034524582,0.4693915317632822,0.6393297552787044,-0.6814029220620832,-0.2532769726338838,2.2312751854459445,-238.7199920654297,2.2462527344624204,100,300,100,470.2,7390.3,305.3,801.5,1.4,8973.9
V0,none,0,0,random,0,V0_none_seed0_rep1,2026-09-15T02:41:42,cpu,1,8,1,default,1.0,,,,0.17265275120735168,0.3026004731655121,0.171875,0.125,22.639249801635742,11.234684944152832,0.42603327451326567,2.3266963958740234,72,64,32,16,112,7168,7352,1.6794331073760986,0.6918436293436293,0.5989756249544498,43.77326202392578,0.21656517684459686,3.148433208465576,-40.65420150756836,0.7127857662106457,0.679312080626996,0.711142261595685,0.6929832462619347,0.677699967095277,0.6471553190555518,full,full,0.5637729062321052,-0.24750882034524582,0.4693915317632822,0.6393297552787044,-0.6814029220620832,-0.2532769726338838,2.2312751854459445,-238.7199920654297,2.2462527344624204,100,300,100,480.4,7631.1,278.8,792.8,1.9,9190.6
V1,degree,0,0,random,0,V1_degree_seed0,2026-09-16T06:35:34,mps,0,16,1,default,1.0,,,,0.007073485758155584,0.0007011629641056061,0.6072938442230225,0.5714285969734192,0.7151256203651428,13.089056015014648,0.9891894524826937,2.2641332149505615,343,1892,49,0,1941,22330,24614,3.354698419570923,0.9221364221364221,0.5997761056958089,60.777099609375,3.2629880905151367,3.4467930793762207,-1.6647907495498657,0.7127469963016733,0.6789000703766703,0.6560241800629457,0.6391664946432545,0.5966974331162213,0.5666636605725317,full,full,0.04827898152278742,0.2303463107872004,-0.2318657066924216,0.34933453083794713,-0.36403680364515334,-0.005731479641869041,1.1464059496919314,-1263.8100977579752,1.0706519330541293,100,300,100,1514.1,30645.3,460.8,1401.5,2.2,34045.9
V1,degree,0,0,random-projecting,0,V1_degree_seed0_w1_random-projecting,2026-09-16T20:31:15,mps,0,16,1,default,1.0,,1,72,0.019079281017184258,0.28127309679985046,0.25182482600212097,0.30612245202064514,0.7499033212661743,32.95851135253906,0.36452954977849217,4.31464147567749,343,1918,49,0,1967,35165,37475,9.056822776794434,0.9047619047619048,0.6213938639584151,144.5791473388672,6.77819299697876,11.345004081726074,-38.55259323120117,0.7127469963016733,0.6789000703766703,0.7120979791664458,0.6835949452668835,0.6786539771413899,0.6525151690483447,full,full,0.5776121052909562,0.003967750087374194,0.21681936054322376,0.41933654020435257,-0.41713075834858504,-0.15804619591759822,0.7129489849011104,-963.1495727539062,0.4978986325363318,100,300,100,1288.7,32024.8,413.3,1837.3,2.1,35585.7
V1,er,0,0,random,0,V1_er_seed0,2026-09-16T08:57:27,mps,0,16,1,default,1.0,,,,0.007379662711173296,0.0,0.5618393421173096,0.9387755393981934,1.6803338527679443,44.407283782958984,0.643048091082129,2.974660634994507,343,1892,49,0,1941,22330,24614,0.7195609211921692,0.5752091377091377,0.5220244235462019,9.071632385253906,-1.8048183917999268,3.254521131515503,-33.26561737060547,0.7127469963016733,0.6789000703766703,0.7116933843398645,0.6333682622103065,0.6789784047799028,0.5690305338589646,full,full,0.37246376532466835,-0.2869472571804293,0.39907580621933253,0.36451495406200063,-0.3742372816651881,-0.1676331420303444,0.6025940140088399,-3228.5712127685547,0.512751188625892,100,300,100,1504.2,39397.6,380.1,1252.8,1.9,42559.4
V1,none,0,0,random,0,V1_none_seed0,2026-09-15T08:18:19,mps,,,,default,1.0,,,,0.005835095886141062,0.00015922913735266775,0.6728329658508301,0.7346938848495483,0.6676679253578186,11.751707077026367,0.9951972480388271,2.348503589630127,343,1892,49,0,1941,22330,24614,5.4665656089782715,0.9350868725868726,0.6656676832910544,99.77677917480469,5.523265838623047,5.4096293449401855,1.036849856376648,0.7127469963016733,0.6789000703766703,0.655441400065701,0.6408494452509883,0.5967083395620054,0.5639409404163532,full,full,-0.043435663184927524,0.27042666878700294,-0.2904417932021222,0.4198219577701,-0.43344645206179455,0.014296698864551129,1.1406450326244035,-1493.1115854899087,1.0640950299799443,100,300,100,1274.1,26080.3,524.6,1812.3,2.2,29718.6
V1,none,0,0,random,0,V1_none_seed0_init-fanin_diagA,2026-09-15T14:02:19,mps,0,16,1,fanin,1.0,diagA,,,0.022936562076210976,0.0041906270198524,0.33562368154525757,0.6530612111091614,0.68581622838974,7.09578800201416,0.9388545003793866,3.8026225566864014,343,1892,49,0,1941,22330,24614,0.6069915890693665,0.7525740025740025,0.5432827813679648,10.88248348236084,0.665899932384491,0.547836422920227,1.0581707954406738,0.7127469963016733,0.6784915571710471,0.6552785825553425,0.645133461909354,0.5961080847797274,0.5724790171900753,full,full,0.07426627899557678,-0.10020341782835923,0.12273327988001284,0.3482910341679351,-0.35796566814990466,-0.005991174160700272,1.154467769463857,-346.13686014811196,1.0794978879392148,10,10,10,197.9,1746.5,132.2,283.6,2.2,2388.7
V1,none,0,0,random,0,V1_none_seed0_init-fanin_lr100_diagA,2026-09-15T14:02:16,mps,0,16,1,fanin,100.0,diagA,,,0.0008871030295267701,4.400488151645732e-08,0.896934449672699,0.918367326259613,0.3639237880706787,28.01919937133789,0.9186892845515159,-6.302544593811035,343,1892,49,0,1941,22330,24614,15.25661849975586,0.9502895752895753,0.7465293726831492,257.787109375,15.483534812927246,15.028748512268066,3.8437352180480957,0.7127469963016733,0.6784915571710471,0.6551439994913475,0.6511952080706179,0.5961469104025366,0.5907493844178093,full,full,0.04206650025844903,0.2004300159782403,-0.19565280850531594,0.33579683405654803,-0.3609527526445459,-0.01754754448915917,1.130168622235457,-1370.7628550211589,1.054630637417237,10,10,10,198.8,1747.1,130.3,280.2,1.9,2385.3
V1,none,0,0,random,0,V1_none_seed0_init-fanin_lr10_diagA,2026-09-15T14:02:05,mps,0,16,1,fanin,10.0,diagA,,,0.013422704301774502,0.0023087647277861834,0.4334038197994232,0.6122449040412903,0.9468303322792053,12.928984642028809,0.9767155512957836,2.704209327697754,343,1892,49,0,1941,22330,24614,2.1714630126953125,0.8831241956241956,0.5790412229918143,39.22996139526367,2.02799129486084,2.3155362606048584,-2.597604274749756,0.7127469963016733,0.6784915571710471,0.6544104061801265,0.6426508567613678,0.5963361390425936,0.5705465659370127,full,full,-0.06844260117169992,0.14168361929032697,-0.18071181144432483,0.44189212388951377,-0.4719633867797704,-0.030906919853462576,1.1299103036522866,-647.1938601175945,1.0550979825357596,10,10,10,196.9,1745.5,129.0,275.6,2.3,2374.6
V1,none,0,0,random-projecting,0,V1_none_seed0_w1_random-projecting,2026-09-16T20:27:30,mps,0,16,1,default,1.0,,1,72,0.014055385254323483,0.014680570922791958,0.361835241317749,0.4693877696990967,0.6482015252113342,22.74608612060547,-0.16927134066383148,5.211709976196289,343,1918,49,0,1967,35165,37475,-12.626150131225586,0.02252252252252252,0.29456873771696407,-154.3843536376953,-13.56960391998291,-11.678741455078125,-11.622292518615723,0.7127469963016733,0.6789000703766703,0.7116067905093942,0.6959182023376816,0.6781463729771884,0.659798095686414,full,full,0.5480378303785443,-0.11523557865272778,0.3183547820981188,0.22565773031888395,-0.24513954333009177,-0.17506851025033246,0.68347063139081,-1164.8991236368815,0.44421322966615356,100,300,100,1311.5,32049.8,414.7,1566.6,2.0,35361.1
